ADMINPANEL_CREATE_ITEM_WND_BONUS_TITLE	Select bonus
ADMINPANEL_CREATE_ITEM_WND_STONE_TITLE	Select stone
ADMINPANEL_CREATE_ITEM_WND_BONUS_CHAT_SELECT_BONUS	You must select a bonus
ADMINPANEL_CREATE_ITEM_WND_BONUS_CHAT_SET_VALUE	Enter value
ADMINPANEL_CREATE_ITEM_BTN_CREATE	Utwórz
ADMINPANEL_CREATE_ITEM_BTN_RESET	Reset
ADMINPANEL_CREATE_ITEM_SEARCH	Search:
ADMINPANEL_CREATE_ITEM_BONUS_1	Bonus 1
ADMINPANEL_CREATE_ITEM_BONUS_2	Bonus 2
ADMINPANEL_CREATE_ITEM_BONUS_3	Bonus 3
ADMINPANEL_CREATE_ITEM_BONUS_4	Bonus 4
ADMINPANEL_CREATE_ITEM_BONUS_5	Bonus 5
ADMINPANEL_CREATE_ITEM_TITLE_ITEM	Item
ADMINPANEL_CREATE_ITEM_TITLE_CONFIG	Settings
ADMINPANEL_CREATE_ITEM_TITLE_EXT_CONFIG	Advanced settings
ADMINPANEL_CREATE_ITEM_SET_COUNT	Quantity
ADMINPANEL_CREATE_ITEM_SET_PLAYER	Send to
ADMINPANEL_CREATE_ITEM_SET_GRADE	Level
