ADMINPANEL_CREATE_ITEM_WND_BONUS_TITLE	Wybierz bonus
ADMINPANEL_CREATE_ITEM_WND_STONE_TITLE	Wybierz kamien
ADMINPANEL_CREATE_ITEM_WND_BONUS_CHAT_SELECT_BONUS	Musisz wybrac bonus
ADMINPANEL_CREATE_ITEM_WND_BONUS_CHAT_SET_VALUE	Wpisz wartosc
ADMINPANEL_CREATE_ITEM_BTN_CREATE	Utwórz
ADMINPANEL_CREATE_ITEM_BTN_RESET	Resetuj
ADMINPANEL_CREATE_ITEM_SEARCH	Szukaj:
ADMINPANEL_CREATE_ITEM_BONUS_1	Bonus 1
ADMINPANEL_CREATE_ITEM_BONUS_2	Bonus 2
ADMINPANEL_CREATE_ITEM_BONUS_3	Bonus 3
ADMINPANEL_CREATE_ITEM_BONUS_4	Bonus 4
ADMINPANEL_CREATE_ITEM_BONUS_5	Bonus 5
ADMINPANEL_CREATE_ITEM_TITLE_ITEM	Przedmiot
ADMINPANEL_CREATE_ITEM_TITLE_CONFIG	Ustawienia
ADMINPANEL_CREATE_ITEM_TITLE_EXT_CONFIG	Ustawienia zaawansowane
ADMINPANEL_CREATE_ITEM_SET_COUNT	Ilosc
ADMINPANEL_CREATE_ITEM_SET_PLAYER	Wyslij do
ADMINPANEL_CREATE_ITEM_SET_GRADE	Poziom
