AFF_LOVE_POINT	Очки любви: %d%%
ALIGNMENT_NAME	Ранг:
CANNOT_ATTACK_DEST_IN_SAFE	Противник слишком далеко.
CANNOT_ATTACK_SELF_IN_SAFE	Я не могу атаковать.
CANNOT_EQUIP_IN_EXCHANGE	Вы не можете менять снаряжение во время торга.
CANNOT_EQUIP_IN_SHOP	Вы не можете менять снаряжение во время торга.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Открытие лавки на общем месте невозможно.
CANNOT_SHOOT_DEST_IN_SAFE	Противник слишком далеко.
CANNOT_SHOOT_EMPTY_ARROW	Мне нужна стрела.
CANNOT_SHOOT_SELF_IN_SAFE	Я не могу сделать этого.
CANNOT_SKILL_APPROACH	Я уверен, что не могу подойти ближе.
CANNOT_SKILL_ATTACK	Я не могу атаковать.
CANNOT_SKILL_DEST_IN_SAFE	Противник слишком далеко.
CANNOT_SKILL_EQUIP_FISHING_ROD	Мне нужна удочка.
CANNOT_SKILL_HAVE_TO_RIDE	Мне нужен конь, чтобы применить это.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	У меня нет пустого кувшина.
CANNOT_SKILL_NEED_POISON_BOTTLE	У меня нет кувшина с ядом.
CANNOT_SKILL_NEED_TARGET	Кто цель?
CANNOT_SKILL_NOT_ENOUGH_HP	Мне не �
ватает ХП!
CANNOT_SKILL_NOT_ENOUGH_SP	Мне не �
ватает MП!
CANNOT_SKILL_NOT_HORSE_SKILL	Я не могу применить это, когда я на коне.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Я не могу применить этот навык, пользуясь этим оружием.
CANNOT_SKILL_NOT_YET_LEARN	Я не изучил этот Навык.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Это распространяется только на участников группы.
CANNOT_SKILL_ONLY_FOR_CORPSE	Это распространяется только на убиты�
.
CANNOT_SKILL_REMOVE_FISHING_ROD	Я не могу применить этот навык, пользуясь удочкой.
CANNOT_SKILL_SELF_IN_SAFE	Я не могу атаковать противника с этой позиции.
CANNOT_SKILL_USE_SELF	Я не могу применить это на себе.
CANNOT_SKILL_WAIT_COOLTIME	Я пока не могу пользоваться этим навыком.
CANNOT_USE	Использовать его невозможно.
CANNOT_WHISPER_DEST_REFUSE	%s шептание заблокировано.	SA
CANNOT_WHISPER_NOT_LOGON	%s вне сети.	SA
CANNOT_WHISPER_SELF_REFUSE	Вы не можете использовать режим шепнуть, полностью блокировав его.	SNA
CHANNEL_EMPTY_SERVER	Сервер отсутствует.
CHANNEL_NORMAL	Канал %d
